"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"208","David Njoku","CLE","9","TE24","","","206","169","","","204.0"
"209","Brandon LaFell","WR72","","","238","160","","","204.7"
"210","Allen Hurns","MIA","1","WR73","","","231","161","","","205.7"
"211","Devin Funchess","WR74","","","194","215","","","207.0"
"212","Julian Edelman","WR75","","","54","370","","","212.0"
"213","Jonathan Williams","WAS","5","RB65","","","165","","","","171.5"
"214","Spencer Ware","RB66","","","62","372","","","217.0"
"215","Jalen Richard","LV","","RB67","","","261","165","","","210.3"
"216","Deshaun Watson","HOU","7","QB24","","","204","174","","","210.7"
"217","Joe Williams","RB68","","","205","144","","","174.5"
"218","Robert Woods","LAR","8","WR76","","","226","205","","","211.0"
"219","Chris Carson","SEA","6","RB69","","","202","207","","","211.7"
"220","Cincinnati Bengals","DST","6","DST16","184","","253","","","","213.7"
"221","T.J. Yeldon","RB70","","","256","171","","","214.7"
"222","Cameron Meredith","WR77","","","78","371","","","224.5"
"223","Los Angeles Chargers","DST","9","DST17","175","","225","","","","216.3"
"224","Blair Walsh","K12","180","","","247","","","216.3"
"225","De'Angelo Henderson Sr.","RB71","","","230","179","","","218.0"
"226","ArDarius Stewart","WR78","","","241","158","","","218.3"
"227","Chris Boswell","PIT","9","K13","189","","","239","","","218.3"
"228","Mike Williams","LAC","9","WR79","","","214","191","","","218.7"
"229","Devontae Booker","NYG","8","RB72","","","250","188","","","225.3"
"230","Tavon Austin","JAC","8","WR80","","","246","184","","","225.7"
"231","Graham Gano","NYG","8","K14","","","","199","","","197.0"
"232","Jesse James","CHI","9","TE25","","","220","175","","","197.5"
"233","Tarik Cohen","CHI","9","RB73","","","236","204","","","226.3"
"234","Will Fuller V","MIA","1","WR81","","","245","200","","","226.7"
"235","Matt Breida","BUF","6","RB74","","","233","234","","","228.7"
"236","Jaron Brown","ARI","8","WR82","","","235","233","","","229.7"
"237","Branden Oliver","RB75","","","262","186","","","230.3"
"238","Curtis Samuel","WAS","5","WR83","","","237","192","","","230.3"
"239","Charles Clay","TE26","","","189","297","","","234.7"
"240","Austin Seferian-Jenkins","TE27","","","207","222","","","230.7"
"241","Paul Richardson Jr.","WR84","","","215","262","","","230.7"
"242","Chris Conley","HOU","7","WR85","","","240","194","","","231.0"
"243","Stephen Hauschka","K15","","","","249","","","207.0"
"244","Kenyan Drake","LV","","RB76","","","","173","","","207.0"
