"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Antonio Brown","WR1","","","1","1","1","","1.0"
"194","New York Jets","DST","11","DST11","","","209","","155","","179.3"
"195","Blair Walsh","K10","","","","199","193","","181.3"
"196","Charcandrick West","RB61","","","226","140","","","185.7"
"197","Clive Walford","TE23","","","170","207","","","186.3"
"198","Las Vegas Raiders","DST","","DST12","","","219","","183","","195.7"
"199","Jordan Howard","PHI","4","RB62","","","215","161","","","197.0"
"200","Cairo Santos","CHI","9","K11","","","","222","195","","198.3"
"201","Green Bay Packers","DST","4","DST13","","","208","","182","","199.7"
"202","Buffalo Bills","DST","10","DST14","","","229","","187","","199.7"
"203","Philadelphia Eagles","DST","4","DST15","","","220","","180","","200.7"
"204","Jesse James","CHI","9","TE24","","","213","178","","","202.7"
"205","Jordan Cameron","TE25","","","214","177","","","203.0"
"206","Joe Flacco","NYJ","11","QB25","","","174","212","","","204.3"
"207","Kendall Wright","WR69","","","235","155","","","204.7"
"208","Nelson Agholor","NE","9","WR70","","","230","142","","","205.7"
"209","Terrance Williams","WR71","","","199","214","","","205.7"
"210","Josh Ferguson","RB63","","","238","176","","","206.3"
"211","Kyle Rudolph","NYG","8","TE26","","","196","228","","","206.3"
"212","C.J. Spiller","RB64","","","221","203","","","208.0"
"213","Anquan Boldin","WR72","","","183","253","","","208.3"
"214","Wendell Smallwood","WAS","9","RB65","","","240","164","","","209.0"
"215","Breshad Perriman","TB","6","WR73","","","193","189","","","209.3"
"216","Sebastian Janikowski","K12","","","","255","191","","210.0"
"217","Josh Doctson","WR74","","","194","198","","","211.0"
"218","Eli Rogers","WR75","","","211","200","","","211.0"
"219","Chris Boswell","PIT","8","K13","","","","230","192","","212.7"
"220","Trevor Siemian","NO","5","QB26","","","247","143","","","214.0"
"221","Jaelen Strong","WR76","","","237","159","","","215.0"
"222","Shaun Draughn","RB66","","","203","256","","","215.7"
"223","Tyler Gaffney","RB67","","","236","185","","","217.3"
"224","Darren McFadden","RB68","","","228","213","","","218.3"
"225","Paul Perkins","RB69","","","227","170","","","218.7"
"226","Vance McDonald","TE27","","","172","304","","","218.7"
"227","Robert Kelley","RB70","","","222","208","","","218.7"
"228","Jay Cutler","QB27","","","197","215","","","221.7"
