"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"121","Pierre Thomas","RB42","","122","148","","101","","126.8"
"122","Ben Roethlisberger","PIT","5","QB16","","133","129","","126","","126.8"
"123","Sidney Rice","WR47","","135","126","","138","","128.0"
"124","Martellus Bennett","TE14","","126","134","","128","","130.3"
"125","Cincinnati Bengals","DST","12","DST6","","164","135","","119","","131.8"
"126","New England Patriots","DST","10","DST7","","143","142","","130","","131.8"
"127","Jacquizz Rodgers","RB43","","134","144","","109","","133.0"
"128","Brandon Pettigrew","TE15","","120","133","","156","","134.3"
"129","Fred Davis","TE16","","129","152","","133","","134.8"
"130","Zach Sudfeld","TE17","","113","146","","151","","135.3"
"131","Alshon Jeffery","WR48","","137","125","","145","","135.5"
"132","Stephen Gostkowski","K1","","158","141","","143","","138.3"
"133","Denarius Moore","WR49","","132","128","","158","","141.3"
"134","Mikel Leshoure","RB44","","130","151","","112","","141.8"
"135","Carson Palmer","QB17","","139","154","","131","","141.8"
"136","Joe Flacco","NYJ","10","QB18","","150","140","","142","","142.8"
"137","Jay Cutler","QB19","","162","136","","129","","143.8"
"138","Blair Walsh","K2","","157","160","","150","","145.8"
"139","Brian Hartline","WR50","","138","147","","172","","149.8"
"140","Joique Bell","RB45","","136","173","","141","","150.0"
"141","Le'Veon Bell","TB","5","RB46","","92","73","","","","88.7"
"142","Knowshon Moreno","RB47","","146","174","","134","","151.8"
"143","Matt Schaub","QB20","","174","149","","140","","152.3"
"144","Sam Bradford","QB21","","161","145","","149","","152.8"
"145","Ryan Broyles","WR51","","155","143","","154","","153.0"
"146","Rueben Randle","WR52","","147","150","","160","","153.5"
"147","Isaac Redman","RB48","","153","181","","144","","154.0"
"148","Matt Bryant","K3","","171","167","","165","","154.5"
"149","Shonn Greene","RB49","","144","185","","136","","155.0"
"150","Josh Freeman","QB22","","145","158","","155","","155.0"
"151","Michael Bush","RB50","","168","178","","118","","155.8"
"152","Matt Prater","ARI","9","K4","","165","168","","170","","156.3"
"153","Cordarrelle Patterson","ATL","6","RB51","","159","139","","169","","157.0"
"154","Isaiah Pead","RB52","","176","155","","113","","158.8"
"155","Bilal Powell","RB53","","140","195","","137","","159.0"
"156","Aaron Dobson","WR53","","167","159","","135","","161.0"
"157","Darrius Heyward-Bey","WR54","","169","166","","162","","162.8"
"158","LaMichael James","RB54","","128","190","","123","","163.8"
"159","Tyler Eifert","TE18","","172","157","","148","","164.3"
"160","Phil Dawson","K5","","178","177","","181","","165.0"
"161","Christine Michael","RB55","","170","172","","152","","165.3"
"162","Los Angeles Rams","DST","","DST8","","200","164","","163","","166.0"
"163","Green Bay Packers","DST","4","DST9","","189","162","","178","","167.5"
"164","Pittsburgh Steelers","DST","5","DST10","","190","170","","176","","170.0"
"165","Percy Harvin","WR55","","217","102","","174","","170.8"
"166","Roy Helu","RB56","","160","198","","157","","170.8"
"167","Baltimore Ravens","DST","8","DST11","","233","161","","147","","173.0"
"168","Alex Smith","QB23","","179","176","","168","","175.0"
"169","Andre Brown","RB57","","83","104","","","","121.7"
"170","Daniel Thomas","RB58","","142","223","","161","","178.0"
"171","Philip Rivers","QB24","","185","165","","175","","178.0"
"172","Heath Miller","TE19","","197","180","","167","","180.0"
"173","Coby Fleener","TE20","","191","175","","171","","181.5"
"174","Kendall Hunter","RB59","","188","206","","166","","185.5"
"175","Justin Tucker","BAL","8","K6","","223","199","","186","","187.0"
"176","Arizona Cardinals","DST","9","DST12","","232","183","","177","","187.5"
"177","Joseph Randle","RB60","","214","182","","124","","188.5"
"178","Sebastian Janikowski","K7","","238","193","","179","","189.8"
"179","Marcel Reece","RB61","","212","219","","139","","195.3"
"180","Ryan Tannehill","TEN","8","QB25","","248","163","","173","","197.5"
"181","Jonathan Stewart","RB62","","127","127","","","","153.0"
"182","Jermaine Gresham","TE21","","151","153","","","","156.3"
"183","E.J. Manuel","QB26","","245","186","","180","","202.0"
"184","Dan Bailey","K8","","256","215","","187","","202.5"
"185","Greg Zuerlein","DAL","11","K9","","268","194","","182","","203.3"
"186","Kendall Wright","WR56","","177","137","","","","161.7"
"187","Dallas Cowboys","DST","11","DST13","","254","202","","184","","206.0"
"188","Tampa Bay Buccaneers","DST","5","DST14","","304","205","","153","","210.8"
"189","Greg Little","WR57","","166","169","","","","169.3"
"190","Garrett Hartley","K10","","278","220","","185","","213.3"
"191","Johnathan Franklin","RB63","","156","156","","","","173.0"
"192","David Akers","K11","","290","217","","189","","214.8"
"193","Jonathan Dwyer","RB64","","118","184","","","","177.0"
"194","Randy Bullock","TEN","8","K12","","289","221","","188","","217.5"
"195","Malcom Floyd","WR58","","181","188","","","","178.3"
"196","Denard Robinson","RB65","","231","236","","164","","221.0"
"197","LeGarrette Blount","RB66","","194","284","","159","","225.3"
"198","Julius Thomas","TE22","","195","200","","","","190.0"
"199","Mohamed Sanu Sr.","SF","9","WR59","","207","179","","","","191.3"
"200","Michael Crabtree","WR60","","219","132","","","","193.7"
"201","Cleveland Browns","DST","10","DST15","","307","222","","183","","230.0"
"202","Brent Celek","TE23","","183","229","","","","197.0"
"203","Zac Stacy","RB67","","187","171","","","","199.3"
"204","Rob Housler","TE24","","186","189","","","","199.7"
"205","Dwayne Allen","TE25","","216","187","","","","202.3"
"206","Andre Roberts","LAC","","WR61","","209","212","","","","207.0"
"207","Ed Dickson","TE26","","198","227","","","","208.7"
"208","Mason Crosby","GB","4","K13","","327","244","","191","","241.3"
"209","Brandon LaFell","WR62","","239","196","","","","209.3"
"210","Knile Davis","RB68","","210","224","","","","212.0"
"211","Julian Edelman","WR63","","205","210","","","","213.3"
