"Rank","Player","Team","Position","Points","Games","Avg"
"465","Darrel Williams","KC","RB","13.0","3","4.3"
"465","Keith Ford","BUF","RB","13.0","2","6.5"
"465","Sam Ficken","LAR","K","13.0","2","6.5"
"465","Kai Forbath","JAC","K","13.0","2","6.5"
"469","Nathan Peterman","Multi","QB","12.8","4","3.2"
"470","Sam Bradford","ARI","QB","12.7","3","4.2"
"471","Ryan Izzo","NE","TE","12.7","5","2.5"
"472","Corey Coleman","Multi","WR","12.6","7","1.8"
"473","De'Anthony Thomas","KC","WR","12.5","5","2.5"
"473","Mark Walton","CIN","RB","12.5","9","1.4"
"475","David Grinnage","JAC","TE","12.1","3","4.0"
"476","Deontay Burnett","NYJ","WR","12.0","4","3.0"
"477","Antony Auclair","TB","TE","11.8","8","1.5"
"477","Charcandrick West","KC","RB","11.8","1","11.8"
"479","Joshua Perkins","PHI","TE","11.7","6","2.0"
"480","Kamar Aiken","PHI","WR","11.3","2","5.7"
"481","Dwayne Harris","OAK","WR","11.2","14","0.8"
"481","Tommylee Lewis","NO","WR","11.2","6","1.9"
"483","Mike Glennon","ARI","QB","10.9","2","5.5"
"483","T.J. Logan","ARI","RB","10.9","7","1.6"
"485","Matt Lengel","Multi","TE","10.7","8","1.3"
"486","D'Onta Foreman","HOU","RB","10.7","1","10.7"
"486","Neal Sterling","NYJ","TE","10.7","4","2.7"
"486","Brian Hill","ATL","RB","10.7","4","2.7"
"489","Darren Waller","Multi","TE","10.3","3","3.4"
"490","Tommy Bohanon","JAC","RB","10.1","9","1.1"
"490","Patrick DiMarco","BUF","RB","10.1","9","1.1"
"492","Xavier Grimble","PIT","TE","10.0","7","1.4"
"493","Rashad Greene","JAC","WR","10.0","7","1.4"
"493","Kevin White","CHI","WR","10.0","2","5.0"
"495","Eric Saubert","ATL","TE","9.8","8","1.2"
"496","Delanie Walker","TEN","TE","9.2","1","9.2"
"496","Eli Rogers","PIT","WR","9.2","2","4.6"
"496","Jacob Hollister","NE","TE","9.2","4","2.3"
"499","Derrick Willies","CLE","WR","9.1","1","9.1"
"499","Noah Brown","DAL","WR","9.1","6","1.5"
"501","Russell Gage","ATL","WR","8.9","8","1.1"
"502","Detrez Newsome","LAC","RB","8.8","6","1.5"
"503","David Morgan II","MIN","TE","8.6","7","1.2"
"504","Kenjon Barner","Multi","RB","8.4","9","0.9"
"505","DeAndre Washington","OAK","RB","8.4","7","1.2"
"506","Brian Parker","DEN","TE","8.3","7","1.2"
"507","Jawill Davis","NYG","WR","8.0","7","1.1"
"507","Brandon Powell","DET","WR","8.0","5","1.6"
"509","Byron Marshall","WAS","RB","7.9","4","2.0"
"510","Chad Beebe","MIN","WR","7.9","3","2.6"
"511","Tyler Kroft","CIN","TE","7.6","5","1.5"
"512","Rico Gathers","DAL","TE","7.5","8","0.9"
"513","Rishard Matthews","Multi","WR","7.4","6","1.2"
"514","Keith Smith","OAK","RB","7.3","10","0.7"
"515","Ben Braunecker","CHI","TE","7.2","10","0.7"
"516","Roc Thomas","MIN","RB","7.1","5","1.4"
"517","Roosevelt Nix","PIT","RB","7.0","11","0.6"
"518","Marcedes Lewis","GB","TE","6.9","6","1.2"
"519","Mike Boone","MIN","RB","6.8","6","1.1"
"520","Jalen Tolliver","ARI","WR","6.7","3","2.2"
"521","Bobo Wilson","TB","WR","6.6","4","1.7"
"521","Durham Smythe","MIA","TE","6.6","8","0.8"
"523","Tyler Ervin","Multi","RB","6.5","9","0.7"
"523","Derek Anderson","BUF","QB","6.5","2","3.3"
"525","Shaun Wilson","TB","RB","6.4","5","1.3"
"526","John Kelly","LAR","RB","6.3","3","2.1"
"527","Samaje Perine","WAS","RB","6.0","3","2.0"
"528","Tre Madden","SEA","RB","5.8","8","0.7"
"528","Shelton Gibson","PHI","WR","5.8","6","1.0"
"530","Dwayne Allen","NE","TE","5.7","4","1.4"
"530","Jordan Franks","CIN","TE","5.7","4","1.4"
"532","Ray-Ray McCloud","BUF","WR","5.5","7","0.8"
"533","Orson Charles","CLE","TE","5.3","10","0.5"
"534","Justin Hunter","PIT","WR","5.1","4","1.3"
"535","Auden Tate","CIN","WR","5.0","5","1.0"
"536","C.J. Prosise","SEA","RB","4.9","2","2.5"
"537","Brian Quick","WAS","WR","4.8","2","2.4"
"538","Dwayne Washington","NO","RB","4.6","7","0.7"
"539","Charone Peake","NYJ","WR","4.5","7","0.6"
"540","Mike Gillislee","NO","RB","4.2","4","1.1"
"541","Jeremy Hill","NE","RB","4.1","1","4.1"
"541","Ricky Ortiz","ATL","RB","4.1","4","1.0"
"541","De'Lance Turner","BAL","RB","4.1","2","2.1"
"544","Malik Turner","SEA","WR","4.0","3","1.3"
"544","Derrick Coleman","ARI","RB","4.0","11","0.4"
"546","Ameer Abdullah","Multi","RB","3.9","9","0.4"
"547","Terrance Williams","DAL","WR","3.8","2","1.9"
"548","KhaDarel Hodge","LAR","WR","3.7","6","0.6"
"548","Nick Williams","Multi","WR","3.7","4","0.9"
